Card Name,Percent of decks that play this card,Avg copies in those decks,Deck winrate,Times played
Shieldmaiden,1.0,1.9,42.6,5,300
Crimson Sigil Runner,0.8,1.8,43.6,5,300
Talented Arcanist,0.9,1.8,46.7,5,200
Thickhide Kodo,1.3,1.6,46.2,5,200
Rancor,1.2,1.6,46.4,5,200
Fire Breather,1.0,1.6,48.3,5,100
Kanrethad Ebonlocke,1.4,1,46.9,5,100
Brittlebone Destroyer,1.1,1.5,47.7,4,800
Enhanced Dreadlord,1.3,1.5,50.1,4,800
Arid Stormer,1.0,1.9,53.3,4,700
Nofin Can Stop Us,1.2,2,54.2,4,700
Aegwynn, the Guardian,1.7,1,46.7,4,700
Sparkjoy Cheat,0.7,1.9,49.9,4,700
Landslide,1.2,1.9,52.3,4,700
Imprisoned Gan'arg,0.8,1.8,54.6,4,700
Oasis Thrasher,0.9,1.9,49.7,4,700
Mordresh Fire Eye,2.1,1,46.1,4,600
Kargal Battlescar,2.8,1,50.9,4,600
Coldlight Seer,1.1,2,54.1,4,600
Warmaul Challenger,1.4,1.5,58.4,4,600
Bonechewer Brawler,0.8,1.9,50.0,4,600
Ras Frostwhisper,1.9,1,51.1,4,600
E.T.C., God of Metal,1.9,1,56.8,4,600
Consecration,1.1,1.7,52.8,4,600
Lord Barov,1.8,1,49.1,4,500
Arcanologist,0.7,1.8,39.6,4,500
Swashburglar,0.6,1.8,41.2,4,500
Darkspear Berserker,1.6,1.9,55.4,4,400
Devouring Plague,0.8,1.6,45.6,4,400
Ticket Master,0.6,1.9,45.9,4,300
Argent Protector,0.9,1.9,62.4,4,300
Man'ari Mosher,1.0,1.7,48.0,4,300
War Cache,0.9,1.7,43.0,4,300
Mirror Entity,0.9,1.5,44.7,4,200
Nitroboost Poison,0.9,1.8,45.1,4,200
Mor'shan Elite,1.0,1.8,51.8,4,200
Moonfang,2.3,1,51.7,4,200
Armorsmith,0.7,1.9,39.6,4,100
Murloc Tinyfin,0.8,1.9,54.1,4,100
Blood Shard Bristleback,0.7,1.8,45.3,4,000
Snap Freeze,0.8,1.7,45.3,4,000
Kor'vas Bloodthorn,0.7,1,47.4,4,000
Dire Frenzy,1.4,1.7,47.6,4,000
Murloc Tidehunter,0.8,1.9,53.8,4,000
Instructor Fireheart,2.0,1,54.4,4,000
Altar of Fire,0.6,1.8,41.0,3,900
Bearshark,0.9,1.8,46.2,3,900
Fire Elemental,1.0,1.9,52.5,3,900
Sigil of Flame,0.6,1.7,45.9,3,900
Deep Freeze,1.5,1.5,50.9,3,900
Il'gynoth,1.3,1,49.1,3,900
Brightwing,1.1,1,44.9,3,800
Gyreworm,0.8,2,53.8,3,800
Blessing of Authority,1.0,1.7,58.6,3,800
Fogsail Freebooter,0.8,1.9,53.1,3,800
Flame Imp,0.6,1.9,44.9,3,700
Vanessa VanCleef,1.0,1,43.5,3,700
Ironbeak Owl,1.4,1.1,44.4,3,700
Inconspicuous Rider,0.7,1.8,47.4,3,700
Flesh Giant,0.7,1.7,47.5,3,700
Dreaming Drake,0.7,1.9,47.4,3,600
Keywarden Ivory,1.4,1,47.2,3,600
Oasis Ally,1.0,1.4,47.4,3,600
Shadowlight Scholar,0.6,1.6,49.4,3,600
Soulshard Lapidary,0.8,1.9,52.7,3,600
Spymistress,0.5,1.9,49.1,3,600
Circus Medic,0.7,1.7,46.2,3,600
Shadowjeweler Hanar,0.9,1,50.5,3,600
Deadly Shot,1.0,1.6,46.5,3,600
Ringmaster Whatley,1.6,1,56.8,3,600
Cannonmaster Smythe,2.0,1,58.7,3,500
Blessing of Kings,0.8,1.8,53.3,3,500
Argent Braggart,0.9,1.8,63.8,3,500
Devout Pupil,0.7,1.7,56.2,3,500
Reliquary of Souls,0.9,1,44.3,3,500
Sneaky Delinquent,0.6,1.9,49.9,3,500
Torrent,0.9,1.9,55.1,3,500
Fortune Teller,0.6,1.8,48.4,3,400
Varden Dawngrasp,1.3,1,45.5,3,300
Mindrender Illucia,2.1,1,46.7,3,300
Felfin Navigator,0.8,1.9,54.2,3,300
Explosive Trap,0.9,1.6,46.7,3,200
Annoy-o-Tron,0.6,1.8,41.6,3,200
Earth Revenant,0.7,1.9,55.3,3,200
Soothsayer's Caravan,0.6,1.6,43.4,3,200
Evocation,1.9,1,50.3,3,200
Crossroads Watch Post,0.7,1.6,45.1,3,100
Webspinner,0.7,1.8,42.6,3,100
Tenwu of the Red Smoke,1.2,1,49.0,3,100
Cloak of Shadows,0.7,1.8,46.9,3,100
Educated Elekk,0.7,1.4,41.3,3,100
Sphere of Sapience,0.8,1,45.6,3,000
Freezing Trap,0.8,1.8,46.8,3,000
Vengeful Spirit,0.7,1.7,56.3,3,000
Cairne Bloodhoof,1.3,1,44.4,2,900
Carrion Studies,0.5,1.8,49.7,2,900
Nerubian Egg,0.5,1.8,46.8,2,900
Scrap Golem,0.5,1.7,41.6,2,900
Scrapyard Colossus,1.0,1.5,43.1,2,900
Gadgetzan Auctioneer,0.7,1.9,36.2,2,800
Prize Vendor,0.6,1.8,46.8,2,800
Cruel Taskmaster,0.6,1.9,43.7,2,800
Soul Rend,0.5,1.9,42.9,2,800
Sightless Watcher,0.5,1.8,46.0,2,800
Marshspawn,0.6,1.8,49.2,2,800
Lilypad Lurker,0.8,1.8,54.8,2,700
Burning Blade Acolyte,0.7,1.6,45.5,2,700
Mark of the Spikeshell,0.6,1.8,45.7,2,700
Ethereal Augmerchant,0.5,1.6,45.6,2,600
Crimson Clergy,0.4,1.9,38.5,2,600
Mystery Winner,0.5,1.7,49.9,2,600
Worgen Infiltrator,0.4,1.8,46.5,2,600
Shadowed Spirit,0.5,1.9,37.9,2,600
Barrens Scavenger,0.4,1.8,45.6,2,600
Rigged Faire Game,1.0,1.1,49.4,2,600
Wave of Apathy,0.6,1.4,42.6,2,600
Apothecary Helbrim,0.7,1,46.8,2,600
Shardshatter Mystic,0.6,1.9,52.6,2,500
Fairground Fool,0.4,1.8,44.9,2,500
Hog Rancher,0.5,1.7,45.1,2,500
Fleethoof Pearltusk,0.6,1.7,47.2,2,500
Razormane Battleguard,0.5,1.9,48.3,2,500
Firemancer Flurgl,1.0,1,55.2,2,500
Rattlegore,1.1,1,48.3,2,500
Confection Cyclone,0.5,1.9,47.7,2,500
Ethereal Conjurer,0.6,1.7,41.1,2,500
SI:7 Agent,0.4,1.8,41.3,2,500
Midway Maniac,0.4,1.8,47.9,2,400
Psyche Split,0.8,1.3,45.1,2,400
Potion of Illusion,1.1,1.2,43.4,2,400
Lightning Storm,0.6,1.7,44.1,2,400
Argent Squire,0.4,1.9,42.3,2,400
Beastmaster Leoroxx,0.9,1,50.6,2,300
Fishy Flyer,0.6,1.5,49.3,2,300
Greyheart Sage,0.4,1.9,50.1,2,300
Plagiarize,0.6,1.4,46.3,2,300
Acrobatics,0.6,1.2,45.6,2,300
Whirling Combatant,0.5,1.6,47.5,2,300
Transfer Student,0.5,1.6,51.4,2,300
Tirion Fordring,1.0,1,54.0,2,300
Mana Tide Totem,0.5,1.8,43.9,2,300
Ring Matron,0.5,1.6,50.3,2,300
Feral Rage,0.5,1.7,38.6,2,300
Ashtongue Battlelord,0.5,1.8,41.4,2,200
Hellfire,0.6,1.5,47.8,2,200
Auspicious Spirits,0.4,1.7,44.8,2,200
Slam,0.4,1.8,37.3,2,200
Pursuit of Justice,0.4,1.8,41.5,2,200
Warsong Envoy,0.4,1.9,47.5,2,200
Inara Stormcrash,1.2,1,56.4,2,100
Darkmoon Dirigible,0.4,1.6,47.1,2,100
Mark of the Wild,0.6,1.7,47.2,2,100
Pack Tactics,0.5,1.7,50.2,2,100
Underlight Angling Rod,0.5,1.9,63.2,2,100
Unstable Felbolt,0.4,1.8,44.3,2,100
Enslaved Fel Lord,0.5,1.5,47.3,2,000
Natalie Seline,0.9,1,44.1,2,000
Peon,0.4,1.6,41.4,2,000
Doctor Krastinov,0.8,1,49.2,2,000
Defender of Argus,0.7,1.4,47.6,2,000
Steward of Scrolls,0.5,1.6,46.1,1,900
Landscaping,0.5,1.7,53.8,1,900
The Dark Portal,0.4,1.7,43.9,1,900
Lone Champion,0.4,1.5,45.6,1,900
In Formation!,0.4,1.7,41.8,1,900
Coordinated Strike,0.4,1.8,39.7,1,900
Power Infusion,0.4,1.8,37.9,1,900
Kayn Sunfury,0.9,1,51.7,1,900
The Nameless One,0.7,1,47.0,1,900
Shadow Word: Ruin,0.9,1.2,44.2,1,800
Bulk Up,0.4,1.8,40.0,1,800
Bamboozle,0.5,1.4,50.4,1,800
Skeletal Dragon,0.6,1.3,44.6,1,800
Redeemed Pariah,0.3,1.8,49.0,1,800
Darkglare,0.3,1.9,48.5,1,800
Redscale Dragontamer,0.4,1.6,54.1,1,800
Invigorating Sermon,0.3,1.6,45.1,1,800
Frothing Berserker,0.4,1.9,48.0,1,800
Execute,0.5,1.7,37.8,1,800
Faceless Manipulator,0.6,1.2,44.2,1,800
Toad of the Wilds,0.3,1.9,47.5,1,800
Yoink!,0.3,1.4,46.5,1,800
Resizing Pouch,0.5,1.5,49.0,1,700
Al'Akir the Windlord,1.1,1,51.9,1,700
N'Zoth, God of the Deep,1.1,1,46.8,1,700
Scabbs Cutterbutter,0.5,1,41.6,1,700
Kul Tiran Chaplain,0.3,1.9,39.0,1,700
Malevolent Strike,0.3,1.8,48.0,1,700
Silas Darkmoon,1.0,1,44.8,1,700
Felsoul Jailer,0.4,1.7,42.1,1,700
Snake Trap,0.5,1.6,46.0,1,700
Lightspawn,0.3,1.9,37.2,1,700
Cabal Acolyte,0.4,1.5,43.2,1,700
Sigil of Silence,0.3,1.4,44.4,1,700
Lock and Load,0.4,1.8,50.1,1,600
King Krush,1.8,1,48.8,1,600
Overlord Saurfang,0.8,1,48.3,1,600
Barricade,0.3,1.6,43.0,1,600
Petting Zoo,0.4,1.8,52.2,1,600
Neeru Fireblade,0.9,1,45.0,1,600
Whirlwind,0.4,1.7,35.8,1,600
Coldarra Drake,0.7,1.5,42.4,1,600
Line Hopper,0.3,1.8,49.5,1,600
Imp Swarm (Rank 1),0.3,1.6,43.9,1,600
Bogbeam,0.3,1.8,43.7,1,600
Tidal Surge,0.4,1.8,40.8,1,600
Shield of Honor,0.4,1.7,51.0,1,600
Chaos Nova,0.5,1.4,47.4,1,600
Forest Warden Omu,0.7,1,40.2,1,500
Priestess of Fury,0.4,1.7,51.5,1,500
Shan'do Wildclaw,0.6,1,47.6,1,500
Netherwalker,0.3,1.6,50.4,1,500
Grommash Hellscream,0.9,1,45.1,1,500
Onyx Magescribe,0.5,1.4,48.2,1,500
Feral Spirit,0.3,1.8,41.8,1,500
Umbral Owl,0.3,1.8,45.7,1,500
Oil Rig Ambusher,0.2,1.6,47.3,1,500
Dire Wolf Alpha,0.3,1.9,38.4,1,500
Emerald Skytalon,0.3,1.9,37.6,1,500
Wicked Whispers,0.3,1.9,46.6,1,400
Warsong Outrider,0.3,1.8,36.1,1,400
Serena Bloodfeather,0.5,1,44.8,1,400
Spectral Sight,0.2,1.8,48.7,1,400
Scavenging Hyena,0.3,1.9,41.0,1,400
Lorekeeper Polkelt,0.8,1,48.1,1,400
Greybough,0.6,1,47.2,1,400
Guff Runetotem,0.7,1,53.3,1,400
Possessed Villager,0.2,1.8,42.1,1,400
Imprisoned Vilefiend,0.3,1.5,42.6,1,400
Trick Totem,0.3,1.4,45.1,1,400
Soldier's Caravan,0.3,1.7,45.9,1,400
Imprisoned Scrap Imp,0.2,1.6,42.7,1,400
Veteran Warmedic,0.4,1.3,56.2,1,400
Bladed Cultist,0.2,1.9,36.1,1,300
Nightshade Matron,0.3,2,44.9,1,300
