Card Name,Percent of decks that play this card,Avg copies in those decks,Deck winrate,Times played
Ritual of Doom,1.0,1.9,51.7,2,900
Overlord Runthak,2.0,1,51.2,2,900
Flamestrike,1.9,1.4,50.7,2,900
Avenge,1.4,1.7,54.9,2,900
Sunscale Raptor,0.9,1.8,43.9,2,900
Salhet's Pride,1.0,1.9,66.3,2,900
Vicious Scalehide,1.3,1.9,63.4,2,800
Doppelgangster,1.2,1.4,51.6,2,800
Molten Reflection,0.9,1.8,51.5,2,800
Gluttonous Ooze,2.1,1,51.7,2,800
Piercing Shot,1.5,1.9,65.4,2,800
Relentless Pursuit,1.3,1.7,53.4,2,800
Forgotten Torch,1.1,1.6,53.3,2,800
Cagematch Custodian,1.2,1.6,59.5,2,800
Flesh Giant,0.9,1.8,56.0,2,800
The Soularium,1.7,1,59.5,2,800
Underbelly Fence,1.0,1.5,52.6,2,800
Wicked Stab (Rank 1),1.0,1.7,54.7,2,800
Supreme Archaeology,0.8,1,49.9,2,800
Explosive Trap,1.5,1.5,53.6,2,800
Glaivebound Adept,1.4,1.9,53.0,2,800
Sethekk Veilweaver,1.0,1.5,49.3,2,800
Eye Beam,1.2,1.8,54.7,2,800
Shudderwock,2.4,1,50.0,2,800
Moonfire,0.7,1.9,48.5,2,800
Bazaar Burglary,0.8,1,48.5,2,800
Ice Barrier,1.0,1.3,49.5,2,700
Brightwing,1.6,1,48.4,2,700
Jandice Barov,1.8,1,57.5,2,700
Spirit of the Shark,1.0,1.4,45.3,2,700
Sword and Board,0.9,1.8,45.3,2,700
Skull of the Man'ari,1.4,1,59.9,2,700
Nourish,1.0,1.8,52.6,2,700
Injured Marauder,1.6,1.5,56.2,2,700
Plague of Death,2.4,1.3,53.1,2,700
Grim Rally,0.8,1.9,60.3,2,700
Voracious Reader,1.8,1.8,59.7,2,700
Pharaoh Cat,0.9,1.6,52.8,2,700
Lesser Amethyst Spellstone,1.2,1.6,54.8,2,700
Wisp,0.8,1.8,58.1,2,700
Jade Spirit,0.8,1.9,51.1,2,600
Darkglare,0.7,1.9,59.9,2,600
Raid the Sky Temple,0.7,1,47.8,2,600
Wandering Monster,1.2,1.5,58.2,2,600
EVIL Cable Rat,0.9,1.7,52.2,2,600
